id,area_type,availability,location,size,total_sqft,bath,balcony,price
77,type_I,22-Dec,2nd Phase Judicial Layout,1 BHK,525.0,1.0,1.0,26.0
78,type_I,Ready To Move,Subramanyapura,3 BHK,1800.0,3.0,2.0,90.0
79,type_I,Ready To Move,Sanne Amanikere,2 BHK,1185.0,2.0,,38.0
80,type_I,Ready To Move,Marathahalli,3 BHK,1693.0,3.0,1.0,125.0
81,type_I,Ready To Move,Kathriguppe,2 BHK,1250.0,2.0,1.0,68.75
82,type_I,18-Mar,Hulimavu,3 BHK,3035.0,5.0,,271.0
83,type_I,19-Mar,Hebbal,3 BHK,1645.0,3.0,2.0,117.0
84,type_I,18-May,Hosa Road,2 BHK,1063.0,2.0,1.0,32.8
85,type_IV,18-Dec,Bhoganhalli,4 BHK,1451.5,4.0,1.0,121.0
86,type_I,Ready To Move,KR Puram,2 BHK,1156.0,2.0,1.0,72.0
87,type_I,18-Dec,Whitefield,4 BHK,2856.0,5.0,0.0,158.5
88,type_III,Ready To Move,Nagawara Junction,3 Bedroom,1200.0,3.0,2.0,200.0
89,type_I,Ready To Move,Ckikkakammana Halli,2 BHK,902.0,2.0,2.0,42.0
90,type_III,Ready To Move,Whitefield,4 Bedroom,1500.0,4.0,3.0,200.0
91,type_I,Ready To Move,Uttarahalli,3 BHK,1385.0,2.0,2.0,48.48
92,type_I,18-May,Bommasandra,2 BHK,920.0,2.0,1.0,37.2
93,type_III,Ready To Move,Bommanahalli,5 Bedroom,1200.0,7.0,2.0,125.0
94,type_I,Ready To Move,Devanahalli,2 BHK,1080.0,2.0,1.0,52.0
95,type_II,Ready To Move,Devasthanagalu,3 BHK,1460.0,3.0,2.0,70.0
96,type_I,Ready To Move,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,42.0
97,type_II,Ready To Move,Cottonpet,2 BHK,850.0,2.0,1.0,75.0
98,type_I,Ready To Move,Hennur,2 BHK,1255.0,2.0,1.0,53.57
99,type_II,Ready To Move,Manonarayanapalya,3 Bedroom,800.0,2.0,1.0,52.0
100,type_II,Ready To Move,Agrahara Dasarahalli,1 BHK,800.0,1.0,0.0,72.0
101,type_I,Ready To Move,Nallurhalli,2 BHK,1250.0,2.0,2.0,65.0
102,type_I,18-Dec,Kaikondrahalli,2 BHK,900.0,2.0,1.0,27.0
103,type_I,Ready To Move,Kogilu,2 BHK,1250.0,2.0,1.0,55.55
104,type_I,Ready To Move,Udayagiri,3 BHK,1145.0,2.0,2.0,60.0
105,type_II,Ready To Move,HMT Layout,3 BHK,1700.0,3.0,,80.0
106,type_I,Ready To Move,Hennur,2 BHK,1041.0,2.0,2.0,40.6
107,type_I,Ready To Move,Yelenahalli,3 BHK,1650.0,3.0,3.0,68.0
108,type_II,Ready To Move,Banashankari Stage VI,4 Bedroom,4800.0,4.0,3.0,190.0
109,type_II,Ready To Move,BHEL Layout,6 Bedroom,2400.0,4.0,1.0,170.0
110,type_I,Ready To Move,Kanakpura Road,3 BHK,1450.0,2.0,2.0,62.93
111,type_I,Ready To Move,Marathahalli,3 BHK,1583.0,3.0,3.0,105.0
112,type_I,Ready To Move,Electronic City,3 BHK,1025.0,2.0,1.0,47.0
113,type_I,Ready To Move,RMV Extension,3 BHK,1675.0,3.0,3.0,62.0
114,type_III,Ready To Move,Jalahalli,8 Bedroom,1244.0,6.0,2.0,130.0
115,type_I,20-Dec,Whitefield,3 BHK,1562.0,3.0,2.0,103.0
116,type_I,19-Jan,Shauhardha Layout,1 BHK,509.0,1.0,1.0,20.0
117,type_I,18-Oct,6th block Koramangala,3 BHK,1450.0,2.0,3.0,89.6
118,type_I,Ready To Move,Hennur Road,3 BHK,1680.0,3.0,,99.27
119,type_I,Ready To Move,7th Phase JP Nagar,3 BHK,1350.0,3.0,2.0,58.0
120,type_I,Ready To Move,,3 BHK,1600.0,3.0,2.0,86.0
121,type_I,Ready To Move,Shivaji Nagar,3 BHK,1460.0,2.0,1.0,90.0
122,type_I,Ready To Move,Hoskote,3 BHK,1250.0,3.0,2.0,29.0
123,type_I,Ready To Move,Old Madras Road,2 BHK,1210.0,2.0,1.0,74.0
124,type_II,Ready To Move,Kengeri,2 BHK,787.0,2.0,1.0,31.0
125,type_I,Ready To Move,Koramangala,3 BHK,2292.0,4.0,1.0,275.0
126,type_II,Ready To Move,GM Palaya,3 BHK,1735.0,3.0,2.0,70.0
127,type_I,Ready To Move,Ardendale,3 BHK,1777.26,3.0,2.0,105.0
128,type_I,Ready To Move,Kasturi Nagar,2 BHK,1080.0,2.0,2.0,80.0
129,type_I,Ready To Move,Tumkur Road,3 BHK,1354.0,3.0,1.0,90.0
130,type_I,Ready To Move,Whitefield,4 BHK,3606.0,4.0,2.0,312.0
131,type_II,Ready To Move,Bhuvaneshwari Nagar,2 BHK,1280.0,2.0,2.0,68.48
132,type_I,18-Dec,Kodathi,2 BHK,850.0,2.0,2.0,27.0
133,type_II,Ready To Move,Jalahalli West,2 BHK,782.0,2.0,2.0,55.68
134,type_I,Ready To Move,Gottigere,3 BHK,1385.0,2.0,2.0,50.0
135,type_I,18-May,Mysore Road,3 BHK,1560.0,,,83.3
136,type_I,Ready To Move,Yeshwanthpur,3 BHK,1855.0,3.0,3.0,140.0
137,type_III,Ready To Move,Palace Guttahalli,3 Bedroom,875.0,3.0,1.0,115.0
138,type_II,Ready To Move,J C Nagar,8 BHK,800.0,6.0,3.0,110.0
139,type_I,Ready To Move,Kodbisanhalli,2 BHK,1245.0,1.0,3.0,60.0
140,type_I,Ready To Move,HOSUR MAIN ROAD,3 BHK,1393.0,3.0,2.0,54.0
141,type_I,Ready To Move,Seegehalli,2 BHK,1176.0,2.0,2.0,50.0
142,type_II,Ready To Move,Hoodi,3 BHK,1350.0,3.0,2.0,70.0
143,type_III,Ready To Move,Uttarahalli,4 Bedroom,1200.0,4.0,3.0,179.0
144,type_I,Ready To Move,Ramanashree Enclave,2 BHK,1075.0,2.0,2.0,58.0
145,type_I,Ready To Move,Sarjapur  Road,2 BHK,1050.0,2.0,1.0,62.0
146,type_II,Ready To Move,Kaggadasapura,2 BHK,1240.0,2.0,1.0,58.58
147,type_I,18-May,BTM 2nd Stage,3 BHK,1250.0,3.0,1.0,50.0
148,type_I,18-Dec,Sonnenahalli,3 BHK,1484.0,3.0,1.0,74.18
149,type_III,Ready To Move,Kengeri Hobli,3 Bedroom,600.0,2.0,0.0,30.0
150,type_III,Ready To Move,Gubbalala,4 Bedroom,5000.0,4.0,3.0,425.0
151,type_I,Ready To Move,Lakshminarayana Pura,2 BHK,1172.0,2.0,2.0,75.0
152,type_I,Ready To Move,Hennur,2 BHK,1255.0,2.0,2.0,53.5
153,type_I,Ready To Move,Kalena Agrahara,3 BHK,1902.0,3.0,2.0,89.0
154,type_I,Ready To Move,Hennur,2 BHK,1100.0,2.0,1.0,44.55
155,type_I,Ready To Move,Yeshwanthpur,2 BHK,1165.0,2.0,2.0,64.08
156,type_II,Ready To Move,Yemlur,4 Bedroom,7000.0,5.0,,2050.0
157,type_I,Ready To Move,Kudlu,3 BHK,1293.0,2.0,2.0,85.0
158,type_I,Ready To Move,Hebbal,2 BHK,1250.0,2.0,1.0,55.55
159,type_II,18-Dec,"Off Sarjapur Road, ",2 BHK,1161.0,2.0,1.0,59.0
160,type_I,Ready To Move,Whitefield,2 BHK,925.0,2.0,1.0,35.0
161,type_I,19-Dec,Kodathi,3 BHK,1033.0,2.0,2.0,31.5
162,type_I,20-Jul,Frazer Town,3 BHK,2214.0,3.0,3.0,350.0
163,type_I,Ready To Move,Kasavanhalli,3 BHK,1225.0,2.0,1.0,69.0
164,type_I,Ready To Move,Byadarahalli,4 BHK,3500.0,3.0,3.0,450.0
165,type_I,Ready To Move,Classic Paradise Layout,2 BHK,1210.0,2.0,2.0,53.0
166,type_I,Ready To Move,Sarjapur  Road,2 BHK,1115.0,2.0,2.0,50.0
167,type_II,Ready To Move,Seshadripuram,2 BHK,1240.0,2.0,1.0,100.0
168,type_II,Ready To Move,Electronics City Phase 1,3 BHK,1350.0,3.0,0.0,71.0
169,type_I,18-Apr,Sarjapur  Road,3 BHK,1700.0,3.0,2.0,93.5
170,type_I,Ready To Move,Sarjapur,2 BHK,1044.0,2.0,2.0,34.0
171,type_I,19-Mar,Hennur Road,3 BHK,1450.0,3.0,2.0,79.0
172,type_III,Ready To Move,T Dasarahalli,6 Bedroom,1200.0,3.0,,125.0
173,type_II,Ready To Move,Padmanabhanagar,4 BHK,3000.0,4.0,2.0,350.0
174,type_II,Ready To Move,EPIP Zone,3 BHK,2500.0,3.0,1.0,268.0
175,type_I,18-Sep,Talaghattapura,2 BHK,951.0,2.0,2.0,30.43
176,type_I,Ready To Move,Banagiri Nagar,3 BHK,1500.0,2.0,2.0,120.0
177,type_I,19-Dec,Binny Pete,4 BHK,2940.0,6.0,2.0,201.0
178,type_III,Ready To Move,"2nd phase jp nagar, jp nagar",3 Bedroom,1200.0,3.0,1.0,205.0
179,type_I,20-Dec,Hoodi,4 BHK,2090.0,4.0,0.0,95.1
180,type_I,Ready To Move,Ulsoor,3 BHK,1500.0,2.0,2.0,125.0
181,type_I,Ready To Move,OLd Gurappanapalya,4 BHK,2849.0,5.0,,250.0
182,type_III,Ready To Move,Tindlu,3 Bedroom,720.0,3.0,1.0,81.0
183,type_I,18-Jun,Panathur,2 BHK,1007.0,2.0,1.0,64.0
184,type_III,Ready To Move,Marasandra,4 Bedroom,5000.0,5.0,3.0,300.0
185,type_I,Ready To Move,Doddakallasandra,3 BHK,2493.0,3.0,,115.0
186,type_II,Ready To Move,Hennur Road,3 BHK,2160.0,3.0,2.0,160.0
187,type_II,Ready To Move,6th Phase JP Nagar,2 BHK,1216.0,2.0,2.0,60.0
188,type_I,Ready To Move,Nagavarapalya,3 BHK,1300.0,3.0,1.0,80.0
189,type_II,Ready To Move,Bommenahalli,4 Bedroom,1680.0,3.0,0.0,135.0
190,type_III,Ready To Move,Harsha Layout,4 Bedroom,2100.0,6.0,3.0,100.0
191,type_I,Ready To Move,Byadarahalli,3 BHK,3071.0,4.0,,300.0
192,type_I,18-Feb,Whitefield,3 BHK,1800.0,2.0,2.0,70.0
193,type_II,Ready To Move,GM Palaya,2 BHK,1030.0,2.0,1.0,60.0
194,type_I,Ready To Move,Vijinapura,2 BHK,1290.0,2.0,2.0,71.95
195,type_I,Ready To Move,Yeshwanthpur,2 BHK,1168.0,2.0,2.0,64.08
196,type_I,Ready To Move,Poorna Pragna Layout,3 BHK,1475.0,2.0,2.0,58.99
197,type_II,Ready To Move,Haralur Road,3 BHK,1976.0,3.0,2.0,92.0
198,type_I,Ready To Move,RK Layout 2nd Stage,3 BHK,1150.0,2.0,2.0,77.5
199,type_I,Ready To Move,Kanakpura Road,3 BHK,1691.2,3.0,1.0,115.0
200,type_I,18-Jun,Old Madras Road,4 BHK,3715.0,6.0,0.0,212.5
201,type_II,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2.0,1.0,71.0
202,type_III,Ready To Move,Hosakerehalli,3 Bedroom,1200.0,2.0,1.0,100.0
203,type_II,Ready To Move,Marathahalli,4 BHK,3855.0,4.0,3.0,220.0
204,type_I,Ready To Move,TC Palaya,2 BHK,1500.0,2.0,0.0,75.0
205,type_I,Ready To Move,Banagiri Nagar,3 BHK,1630.0,2.0,2.0,97.78
206,type_II,Ready To Move,Ambalipura,3 BHK,3500.0,3.0,,198.0
207,type_I,Ready To Move,LIC Colony,2 BHK,1200.0,2.0,1.0,115.0
208,type_I,Ready To Move,Koramangala,4 BHK,5985.0,4.0,,775.0
209,type_I,17-Oct,Ramagondanahalli,2 BHK,1235.0,2.0,1.0,52.04
210,type_I,Ready To Move,Dairy Circle,2 BHK,1541.0,2.0,1.0,181.0
211,type_III,Immediate Possession,Devanahalli,,3752.5,,,177.115
212,type_III,Ready To Move,Akshaya Vana,4 Bedroom,1200.0,4.0,3.0,165.0
213,type_I,Ready To Move,Gottigere,3 BHK,1500.0,3.0,2.0,70.0
214,type_I,Ready To Move,Harlur,3 BHK,1754.0,3.0,2.0,125.0
215,type_I,Ready To Move,Sarjapur  Road,3 BHK,1770.0,3.0,2.0,180.0
216,type_I,17-Jun,Nallurhalli,2 BHK,1044.0,2.0,1.0,60.0
217,type_I,Ready To Move,Chikkabanavar,2 BHK,600.0,1.0,2.0,25.0
218,type_II,18-Apr,Sarjapur  Road,3 Bedroom,2238.0,3.0,1.0,140.0
219,type_II,Ready To Move,Malleshwaram,3 BHK,2000.0,3.0,2.0,250.0
220,type_I,15-Oct,Kothanur,3 BHK,1760.0,3.0,,111.0
221,type_I,Ready To Move,Electronic City Phase II,2 BHK,1219.0,2.0,1.0,61.25
222,type_I,Ready To Move,Yelahanka,2 BHK,1035.0,2.0,1.0,45.0
223,type_I,18-Aug,Hosakerehalli,3 BHK,1795.0,3.0,2.0,64.62
224,type_II,Ready To Move,Kumarapalli,3 BHK,1488.0,2.0,2.0,65.0
225,type_I,Ready To Move,CV Raman Nagar,2 BHK,1560.0,2.0,2.0,85.0
226,type_II,Ready To Move,Whitefield,3 Bedroom,1600.0,3.0,0.0,69.1
227,type_I,Ready To Move,Marathahalli,2 BHK,1285.0,2.0,2.0,55.0
228,type_I,Ready To Move,Rajiv Nagar,4 BHK,2340.0,4.0,1.0,145.0
229,type_I,Ready To Move,Whitefield,3 BHK,1520.0,2.0,2.0,150.0
230,type_III,Ready To Move,Chikkaballapur,3 Bedroom,1500.0,3.0,3.0,100.0
231,type_I,Ready To Move,1st Phase JP Nagar,3 BHK,2059.0,3.0,2.0,225.0
232,type_II,Ready To Move,Chelekare,2 BHK,1000.0,2.0,1.0,45.0
233,type_I,Ready To Move,Billekahalli,2 BHK,950.0,2.0,2.0,56.0
234,type_III,Ready To Move,Fraser town,6 Bedroom,806.0,3.0,1.0,128.0
235,type_II,Ready To Move,MS Pallya,5 Bedroom,3600.0,5.0,0.0,110.0
236,type_III,Ready To Move,Chokkanahalli,1 Bedroom,1200.0,1.0,1.0,28.0
237,type_I,Ready To Move,Domlur,3 BHK,1720.0,3.0,1.0,135.0
238,type_II,Ready To Move,Maruthi Nagar,2 BHK,850.0,1.0,0.0,35.5
239,type_I,Ready To Move,Rajaji Nagar,3 BHK,1640.0,3.0,2.0,268.0
240,type_II,Ready To Move,Indira Nagar,4 BHK,4000.0,4.0,1.0,700.0
241,type_I,Ready To Move,Hebbal,4 BHK,3895.0,4.0,2.0,405.0
242,type_I,Ready To Move,Banashankari Stage II,3 BHK,1260.0,2.0,1.0,95.0
243,type_I,Ready To Move,Banashankari Stage III,3 BHK,1305.0,2.0,1.0,59.0
244,type_I,Ready To Move,MS Pallya,4 BHK,2400.0,4.0,1.0,88.0
245,type_I,Ready To Move,Somasundara Palya,2 BHK,1140.0,2.0,2.0,46.0
246,type_I,Ready To Move,Sahakara Nagar,3 BHK,1370.0,2.0,2.0,90.0
247,type_I,Ready To Move,Silver Springs Layout,2 BHK,1084.0,2.0,2.0,50.0
248,type_III,Ready To Move,Junnasandra,4 Bedroom,3884.0,4.0,3.0,240.0
249,type_I,Ready To Move,Brindavan Nagar,3 BHK,1520.0,3.0,2.0,111.0
250,type_I,Ready To Move,Rajaji Nagar,2 BHK,1200.0,2.0,1.0,70.0
251,type_I,Ready To Move,Defence Colony,4 BHK,2800.0,4.0,3.0,365.0
252,type_I,Ready To Move,Ramagondanahalli,2 BHK,1295.0,2.0,2.0,95.0
253,type_I,Ready To Move,Subramanyapura,3 BHK,1278.0,3.0,2.0,70.0
254,type_III,Ready To Move,Margondanahalli,2 Bedroom,1100.0,2.0,1.0,55.0
255,type_I,Ready To Move,Basapura,2 BHK,1100.0,2.0,1.0,60.0
256,type_I,21-Jun,Vijayanagar,3 BHK,1826.0,3.0,2.0,121.0
257,type_I,18-Apr,Electronic City,2 BHK,1128.0,2.0,1.0,68.75
258,type_I,Ready To Move,BSM Extension,2 BHK,975.0,2.0,2.0,45.0
259,type_I,Ready To Move,Thigalarapalya,4 BHK,4303.0,5.0,,300.0
260,type_II,Ready To Move,Gollarapalya Hosahalli,2 BHK,861.0,2.0,1.0,34.5
261,type_III,18-Jul,Prasanth Extension,2 Bedroom,1200.0,3.0,1.0,46.14
262,type_II,Ready To Move,Singapura Village,2 BHK,850.0,2.0,0.0,34.0
263,type_I,18-Jun,Kothannur,3 BHK,1275.0,3.0,2.0,44.0
264,type_I,17-Dec,Panathur,2 BHK,1210.0,2.0,1.0,78.0
265,type_I,Ready To Move,Whitefield,2 BHK,1362.0,2.0,3.0,85.0
266,type_I,Ready To Move,Thanisandra,3 BHK,1200.0,2.0,1.0,65.0
267,type_I,18-Aug,Udaya Nagar,2 BHK,1225.0,2.0,2.0,47.0
268,type_I,Ready To Move,Kanakpura Road,2 BHK,1500.0,2.0,2.0,69.0
269,type_I,Ready To Move,Akshaya Nagar,3 BHK,1419.0,2.0,3.0,87.0
270,type_I,Ready To Move,HSR Layout,2 BHK,1100.0,2.0,2.0,44.0
271,type_III,Ready To Move,BHEL Layout,5 Bedroom,1200.0,4.0,1.0,160.0
272,type_I,Ready To Move,Banagirinagar,3 BHK,1630.0,2.0,2.0,130.0
273,type_I,18-Dec,Hebbal,3 BHK,1255.0,3.0,2.0,77.68
274,type_I,Ready To Move,Hoodi,2 BHK,1420.0,2.0,2.0,75.0
275,type_I,Ready To Move,Benson Town,2 BHK,1300.0,2.0,1.0,120.0
276,type_I,Ready To Move,Hormavu,3 BHK,1420.0,3.0,2.0,58.0
277,type_I,18-Oct,Hennur Road,3 BHK,1866.0,2.0,2.0,61.58
278,type_I,Ready To Move,Marathahalli,3 BHK,1550.0,3.0,2.0,85.0
279,type_III,Ready To Move,Begur,4 Bedroom,1550.0,4.0,2.0,130.0
280,type_I,Ready To Move,Rachenahalli,3 BHK,1530.0,2.0,2.0,74.4
281,type_II,Ready To Move,Yelahanka,2 BHK,1200.0,2.0,2.0,55.0
282,type_II,Ready To Move,Pai Layout,2 BHK,1000.0,2.0,2.0,34.0
283,type_III,18-Apr,Vidyaranyapura,4 Bedroom,600.0,3.0,2.0,78.0
284,type_II,Ready To Move,Green View Layout,2 BHK,1010.0,2.0,1.0,41.0
285,type_I,20-Dec,Kanakpura Road,2 BHK,700.0,2.0,2.0,36.0
286,type_III,Ready To Move,TC Palaya,3 Bedroom,1200.0,3.0,0.0,66.0
287,type_I,Ready To Move,Haralur Road,2 BHK,1194.0,2.0,2.0,46.0
288,type_I,17-Dec,Seegehalli,2 BHK,1118.0,2.0,2.0,37.5
289,type_I,18-Apr,Electronic City Phase II,2 BHK,1140.0,2.0,1.0,34.0
290,type_I,Ready To Move,Nehru Nagar,3 BHK,1674.0,3.0,,81.0
291,type_III,18-Feb,1st Block HRBR Layout,8 Bedroom,1200.0,7.0,0.0,235.0
292,type_I,Ready To Move,Harlur,3 BHK,1754.0,3.0,2.0,132.0
293,type_II,Ready To Move,Poorna Pragna Layout,2 BHK,960.0,2.0,3.0,50.0
294,type_I,Ready To Move,Kasavanhalli,2 BHK,1090.0,2.0,2.0,59.8
295,type_II,Ready To Move,Pai Layout,2 BHK,1068.0,2.0,3.0,48.0
296,type_I,Ready To Move,Billekahalli,2 BHK,1125.0,2.0,2.0,62.0
297,type_III,Ready To Move,1st Stage Radha Krishna Layout,6 Bedroom,1790.0,5.0,1.0,250.0
298,type_I,Ready To Move,Electronic City,2 BHK,1353.0,2.0,3.0,75.0
299,type_I,18-Apr,Marathahalli,3 BHK,1310.0,3.0,1.0,63.22
300,type_I,Ready To Move,Sarjapura - Attibele Road,3 BHK,1329.0,2.0,2.0,45.95
301,type_I,18-Dec,Hebbal,3 BHK,1920.0,3.0,2.0,134.0
302,type_I,Ready To Move,Kathriguppe,3 BHK,1245.0,2.0,2.0,68.48
303,type_I,Ready To Move,Channasandra,2 BHK,1050.0,2.0,1.0,35.0
304,type_I,Ready To Move,Hoskote,2 BHK,1003.5,2.0,0.0,28.095
305,type_II,Ready To Move,Kaggadasapura,2 BHK,1225.0,2.0,2.0,48.0
306,type_I,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,2.0,117.0
307,type_I,Ready To Move,Pattandur Agrahara,2 BHK,875.0,2.0,1.0,33.0
308,type_III,Ready To Move,Karuna Nagar,3 Bedroom,2500.0,3.0,2.0,190.0
309,type_I,Ready To Move,Bannerghatta Road,3 BHK,1484.0,3.0,2.0,52.5
310,type_I,Ready To Move,Kothanur,3 BHK,1581.0,3.0,3.0,76.0
311,type_I,18-May,New Gurappana Palya,3 BHK,1250.0,3.0,2.0,40.0
312,type_I,18-Jun,Kothannur,3 BHK,1275.0,2.0,2.0,39.8
313,type_III,Ready To Move,Konanakunte,4 Bedroom,3746.0,6.0,1.0,375.0
314,type_I,Ready To Move,Judicial Layout,3 BHK,1989.0,4.0,3.0,155.0
315,type_I,Ready To Move,Brookefield,3 BHK,1518.0,3.0,3.0,80.0
316,type_I,Ready To Move,Sarjapur,2 BHK,920.0,2.0,2.0,33.0
